item_number,district,location,disposition,signal_type,signal_description,occurred_date_time,charge_code,charge_description,offender_number,offenderid,offenderstatus,offender_race,offender_gender,offender_age,victim_number,persontype,victim_race,victim_gender,victim_age,victim_fatal_status,hate_crime,report_type,year
A-24063-22,3,E I-10 & Highrise,OPEN,37,AGGRAVATED ASSAULT,1/22/2022 10:19,14 37.4,AGGRAVATED ASSAULT WITH A FIREARM,1.0,729277.0,,BLACK,MALE,,2.0,VICTIM,BLACK,FEMALE,13.0,Non-fatal,,Incident Report,2022
A-24057-22,4,028XX Wall Bd,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),1/22/2022 11:00,14 35.3,DOMESTIC ABUSE BATTERY - SIMPLE,1.0,729272.0,ARRESTED,BLACK,FEMALE,16.0,1.0,VICTIM,BLACK,FEMALE,35.0,Non-fatal,,Incident Report,2022
A-24043-22,1,030XX Saint Ann St,OPEN,67A,AUTO THEFT,1/22/2022 5:00,14 67.26,THEFT OF A MOTOR VEHICLE,1.0,729270.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,FEMALE,34.0,Non-fatal,,Incident Report,2022
A-24046-22,6,016XX Simon Bolivar Av,OPEN,103D,DISTURBANCE (DOMESTIC),1/22/2022 10:05,,,,,,,,,1.0,VICTIM,BLACK,FEMALE,30.0,Non-fatal,,Incident Report,2022
A-24021-21,1,024XX Conti St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/22/2022 0:30,14 62,SIMPLE BURGLARY,1.0,729271.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,MALE,58.0,Non-fatal,,Incident Report,2022
A-24021-21,1,024XX Conti St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/22/2022 0:30,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,729271.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,MALE,58.0,Non-fatal,,Incident Report,2022
A-24075-22,6,019XX Tchoupitoulas St,CLOSED,103,DISTURBANCE,1/22/2022 10:47,54 153,CRIMINAL TRESPASS,1.0,730011.0,ARRESTED,BLACK,MALE,34.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
A-24075-22,6,019XX Tchoupitoulas St,CLOSED,103,DISTURBANCE,1/22/2022 10:47,54 403,DISTURBING THE PEACE,1.0,730011.0,ARRESTED,BLACK,MALE,34.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
A-24065-22,7,080XX Trapier St #25,OPEN,103D,DISTURBANCE (DOMESTIC),1/22/2022 6:00,,,,,,,,,1.0,REPORTING PERSON,BLACK,MALE,31.0,Non-fatal,,Incident Report,2022
A-24079-22,5,011XX Lamanche St,OPEN,62B,SIMPLE BURGLARY (BUSINESS),1/22/2022 11:07,14 62,SIMPLE BURGLARY,1.0,729273.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
A-24079-22,5,011XX Lamanche St,OPEN,62B,SIMPLE BURGLARY (BUSINESS),1/22/2022 11:07,,,1.0,729273.0,,UNKNOWN,UNKNOWN,,2.0,REPORTING PERSON,BLACK,MALE,55.0,Non-fatal,,Incident Report,2022
A-24094-22,4,039XX N Mimosa Dr,OPEN,35D,SIMPLE BATTERY (DOMESTIC),1/16/2022 19:30,14 35.3(L),ACTS OF DOMESTIC VIOLENCE(STRANGULATION) - SIMPLE,1.0,729275.0,,BLACK,MALE,63.0,1.0,VICTIM,BLACK,FEMALE,58.0,Non-fatal,,Incident Report,2022
