,occurred_date_time,latitude,longitude,hour,item_number,occurred_date,occurred_time
71740,2020-08-31 10:30:00,29.9711927,-90.0677102,10,h3780220,2020-08-31,10:30:00
71744,2020-08-31 10:30:00,29.9711927,-90.0677102,10,h3780220,2020-08-31,10:30:00
71748,2020-08-31 10:30:00,29.9467961,-90.1130906,10,h3781620,2020-08-31,10:30:00
71752,2020-08-31 10:30:00,29.9467961,-90.1130906,10,h3781620,2020-08-31,10:30:00
71756,2020-08-31 10:30:00,29.9467961,-90.1130906,10,h3781620,2020-08-31,10:30:00
71760,2020-08-31 11:00:00,29.9467961,-90.1130906,11,h3781620,2020-08-31,11:00:00
71764,2020-08-31 13:00:00,29.9515017,-90.1017149,13,h3781920,2020-08-31,13:00:00
71766,2020-08-31 13:00:00,29.9515017,-90.1017149,13,h3781920,2020-08-31,13:00:00
71768,2020-08-31 14:25:00,29.9686875,-90.0569864,14,i0013820,2020-08-31,14:25:00
71769,2020-08-31 16:00:00,29.9562654,-90.0816213,16,i0032020,2020-08-31,16:00:00
71771,2020-08-31 16:50:00,29.9562654,-90.0816213,16,i0032020,2020-08-31,16:50:00
71773,2020-08-31 16:50:00,29.9625744,-90.11663670000002,16,i0033020,2020-08-31,16:50:00
71774,2020-08-31 18:38:00,30.0069743,-90.1145058,18,i0033220,2020-08-31,18:38:00
71775,2020-08-31 18:38:00,29.9534822,-90.07047960000001,18,i0036620,2020-08-31,18:38:00
71776,2020-08-31 18:38:00,29.939932,-90.115038,18,i0073420,2020-08-31,18:38:00
71781,2020-08-31 18:38:00,29.939932,-90.115038,18,i0073420,2020-08-31,18:38:00
71786,2020-08-31 18:57:00,29.939932,-90.115038,18,i0073420,2020-08-31,18:57:00
71791,2020-08-31 18:57:00,29.939932,-90.115038,18,i0073420,2020-08-31,18:57:00
71796,2020-08-31 18:57:00,29.939932,-90.115038,18,i0073420,2020-08-31,18:57:00
71801,2020-08-31 18:57:00,29.9445562,-90.0915616,18,i0147520,2020-08-31,18:57:00
71804,2020-09-01 07:45:00,29.9730451,-90.0594235,7,i0216720,2020-09-01,07:45:00
71824,2020-09-02 00:25:00,29.9730451,-90.0594235,0,i0216720,2020-09-02,00:25:00
71844,2020-09-02 14:08:00,29.9730451,-90.0594235,14,i0216720,2020-09-02,14:08:00
71854,2020-09-02 14:08:00,29.9730451,-90.0594235,14,i0216720,2020-09-02,14:08:00
71864,2020-09-02 14:08:00,29.9730451,-90.0594235,14,i0216720,2020-09-02,14:08:00
71874,2020-09-02 14:08:00,29.9730451,-90.0594235,14,i0216720,2020-09-02,14:08:00
71884,2020-09-02 14:08:00,29.9730451,-90.0594235,14,i0216720,2020-09-02,14:08:00
71894,2020-09-02 14:08:00,29.9730451,-90.0594235,14,i0216720,2020-09-02,14:08:00
71904,2020-09-02 14:08:00,29.9524022,-90.0724135,14,i0306420,2020-09-02,14:08:00
71906,2020-09-02 14:08:00,29.9524022,-90.0724135,14,i0306420,2020-09-02,14:08:00
71908,2020-09-02 14:08:00,30.0287245,-89.9478391,14,i0314320,2020-09-02,14:08:00
71909,2020-09-02 14:08:00,29.9863902,-90.039433,14,i0314620,2020-09-02,14:08:00
71910,2020-09-03 07:08:00,29.918344,-90.0943801,7,i0374420,2020-09-03,07:08:00
71911,2020-09-03 07:08:00,29.965116,-90.03253769999999,7,i0389820,2020-09-03,07:08:00
71917,2020-09-03 17:50:00,29.965116,-90.03253769999999,17,i0389820,2020-09-03,17:50:00
71976,2020-09-04 13:15:00,29.9462078,-90.0888247,13,i0483620,2020-09-04,13:15:00
71988,2020-09-04 13:15:00,29.99582089999999,-90.0792941,13,i0529320,2020-09-04,13:15:00
71990,2020-09-04 13:15:00,29.99582089999999,-90.0792941,13,i0529320,2020-09-04,13:15:00
71995,2020-09-05 14:30:00,30.056915,-89.9693921,14,i0676620,2020-09-05,14:30:00
72019,2020-09-06 00:07:00,30.056915,-89.9693921,0,i0676620,2020-09-06,00:07:00
72031,2020-09-06 00:07:00,30.056915,-89.9693921,0,i0676620,2020-09-06,00:07:00
72043,2020-09-06 00:07:00,30.056915,-89.9693921,0,i0676620,2020-09-06,00:07:00
72055,2020-09-06 00:07:00,30.056915,-89.9693921,0,i0676620,2020-09-06,00:07:00
72067,2020-09-06 00:07:00,30.056915,-89.9693921,0,i0676620,2020-09-06,00:07:00
72079,2020-09-06 00:07:00,30.056915,-89.9693921,0,i0676620,2020-09-06,00:07:00
72091,2020-09-06 00:07:00,30.056915,-89.9693921,0,i0676620,2020-09-06,00:07:00
72103,2020-09-06 00:07:00,30.056915,-89.9693921,0,i0676620,2020-09-06,00:07:00
72115,2020-09-06 00:07:00,30.056915,-89.9693921,0,i0676620,2020-09-06,00:07:00
72127,2020-09-06 00:07:00,30.056915,-89.9693921,0,i0676620,2020-09-06,00:07:00
72139,2020-09-06 00:07:00,29.9522861,-90.06856359999999,0,i0685220,2020-09-06,00:07:00
72143,2020-09-06 00:07:00,30.0202249,-90.1165083,0,i0732420,2020-09-06,00:07:00
72151,2020-09-06 00:30:00,30.0202249,-90.1165083,0,i0732420,2020-09-06,00:30:00
72159,2020-09-06 00:30:00,30.0202249,-90.1165083,0,i0732420,2020-09-06,00:30:00
72167,2020-09-06 00:30:00,30.0202249,-90.1165083,0,i0732420,2020-09-06,00:30:00
72175,2020-09-06 00:30:00,30.0202249,-90.1165083,0,i0732420,2020-09-06,00:30:00
72183,2020-09-06 00:30:00,30.0202249,-90.1165083,0,i0732420,2020-09-06,00:30:00
72191,2020-09-06 00:30:00,30.0202249,-90.1165083,0,i0732420,2020-09-06,00:30:00
72199,2020-09-06 00:30:00,30.0202249,-90.1165083,0,i0732420,2020-09-06,00:30:00
72207,2020-09-06 00:30:00,29.9528035,-90.0725598,0,i0767220,2020-09-06,00:30:00
72213,2020-09-06 18:44:00,29.9528035,-90.0725598,18,i0767220,2020-09-06,18:44:00
72216,2020-09-06 18:44:00,30.0316966,-89.99502729999999,18,i0839120,2020-09-06,18:44:00
72217,2020-09-06 18:44:00,29.9206094,-89.98262000000001,18,i0889720,2020-09-06,18:44:00
72219,2020-09-07 09:00:00,29.9206094,-89.98262000000001,9,i0889720,2020-09-07,09:00:00
72221,2020-09-07 18:30:00,29.9437439,-90.0844513,18,i0902620,2020-09-07,18:30:00
72242,2020-09-07 18:30:00,29.9437439,-90.0844513,18,i0902620,2020-09-07,18:30:00
72710,2020-09-08 11:00:00,29.940697,-90.0779146,11,i0981420,2020-09-08,11:00:00
72712,2020-09-08 11:00:00,29.940697,-90.0779146,11,i0981420,2020-09-08,11:00:00
72714,2020-09-08 11:00:00,29.9303688,-90.02729699999999,11,i1050320,2020-09-08,11:00:00
72716,2020-09-08 12:29:00,29.9303688,-90.02729699999999,12,i1050320,2020-09-08,12:29:00
72718,2020-09-08 12:29:00,30.0195411,-90.05199879999999,12,i1074520,2020-09-08,12:29:00
72719,2020-09-08 13:00:00,29.9640699,-90.0607955,13,i1092420,2020-09-08,13:00:00
72731,2020-09-08 13:00:00,29.9640699,-90.0607955,13,i1092420,2020-09-08,13:00:00
72759,2020-09-09 08:25:00,29.9527404,-90.0709217,8,i1174620,2020-09-09,08:25:00
